Jones county (GA state)

834 records retrieved

Color Legend: Blue=Motorola, Green=LTR, Yellow=EDACS
Freq	Type	City	Call	  Licensee	Elev	Site Name
151.07750000	FB2	MACON	WPUK849	JONES, COUNTY OF (TOM PAHULA)	167.6	 
151.07750000	MO	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	198.0	WATER TANK
151.07750000	FB2	 	WPUK849	JONES, COUNTY OF (TOM PAHULA)	 	 
151.07750000	MO	MACON	WQLU734	Jones, County Of (Barbara Burnette)	167.6	 
151.07750000	MO	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	182.8	 
151.07750000	FB2	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	198.0	WATER TANK
151.07750000	MO	GRAY	WQLU734	Jones, County Of (Barbara Burnette)	182.8	 
151.07750000	MO	MACON	WPUK849	JONES, COUNTY OF (TOM PAHULA)	167.6	 
151.07750000	MO	 	WQLU734	Jones, County Of (Barbara Burnette)	 	 
151.07750000	FB2	MACON	WQLU734	Jones, County Of (Barbara Burnette)	167.6	 
151.07750000	FB2	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	182.8	 
151.10000000	FB	ROUND OAK	KIL699	GEORGIA, STATE OF (GTA GFC JONES UNIT)	190.0	 
151.10750000	MO	 	WPUK849	JONES, COUNTY OF (TOM PAHULA)	 	 
151.10750000	FB2	GRAY	WQLU734	Jones, County Of (Barbara Burnette)	182.8	 
151.10750000	FB2	 	WQLU734	Jones, County Of (Barbara Burnette)	 	 
151.10750000	FB2	MACON	WPUK849	JONES, COUNTY OF (TOM PAHULA)	167.6	 
151.10750000	MO	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	198.0	WATER TANK
151.10750000	FB2	 	WPUK849	JONES, COUNTY OF (TOM PAHULA)	 	 
151.10750000	MO	MACON	WQLU734	Jones, County Of (Barbara Burnette)	167.6	 
151.10750000	MO	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	182.8	 
151.10750000	FB2	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	198.0	WATER TANK
151.10750000	MO	GRAY	WQLU734	Jones, County Of (Barbara Burnette)	182.8	 
151.10750000	MO	MACON	WPUK849	JONES, COUNTY OF (TOM PAHULA)	167.6	 
151.10750000	MO	 	WQLU734	Jones, County Of (Barbara Burnette)	 	 
151.10750000	FB2	MACON	WQLU734	Jones, County Of (Barbara Burnette)	167.6	 
151.10750000	FB2	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	182.8	 
151.11500000	FB	ROUND OAK	KIL699	GEORGIA, STATE OF (GTA GFC JONES UNIT)	190.0	 
151.13000000	FB2	 	WQKU236	GRAY, CITY OF (POLICE DEPARTMENT)	 	 
151.13000000	MO	GRAY	WQKU236	GRAY, CITY OF (POLICE DEPARTMENT)	170.7	 
151.13000000	FB2	GRAY	WQKU236	GRAY, CITY OF (POLICE DEPARTMENT)	170.7	 
151.13000000	MO	 	WQKU236	GRAY, CITY OF (POLICE DEPARTMENT)	 	 
151.14500000	FB	ROUND OAK	KIL699	GEORGIA, STATE OF (GTA GFC JONES UNIT)	190.0	 
151.22000000	FB2	ROUNDOAK/HILLSB	WPKS414	GEORGIA,STATE OF (Ralph Bevan)	152.0	 
151.22000000	MO	ROUNDOAK/HILLSB	WPKS414	GEORGIA,STATE OF (Ralph Bevan)	152.0	 
151.28000000	FX1	HILLSBORO	WNNZ629	GEORGIA, STATE OF (GTA / GFC OCONEE WEST RPTRS)	181.0	 
151.28000000	FB	ROUND OAK	KIL699	GEORGIA, STATE OF (GTA GFC JONES UNIT)	190.0	 
151.28000000	FX1	 	WNNZ629	GEORGIA, STATE OF (GTA / GFC OCONEE WEST RPTRS)	 	 
151.30250000	MO	 	WPUK849	JONES, COUNTY OF (TOM PAHULA)	 	 
151.30250000	MO	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	198.0	WATER TANK
151.30250000	MO	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	182.8	 
151.30250000	MO	MACON	WPUK849	JONES, COUNTY OF (TOM PAHULA)	167.6	 
151.38500000	FX1	ROUNDOAK/HILLSB	WPKS414	GEORGIA,STATE OF (Ralph Bevan)	152.0	 
151.41500000	MO	ROUNDOAK/HILLSB	WPKS414	GEORGIA,STATE OF (Ralph Bevan)	152.0	 
151.41500000	FB2	ROUNDOAK/HILLSB	WPKS414	GEORGIA,STATE OF (Ralph Bevan)	152.0	 
151.46000000	MO	ROUNDOAK/HILLSB	WPKS414	GEORGIA,STATE OF (Ralph Bevan)	152.0	 
151.46000000	FB2	ROUNDOAK/HILLSB	WPKS414	GEORGIA,STATE OF (Ralph Bevan)	152.0	 
151.58000000	MO	HADDOCK	KJP981	BONNERS MINNOW FARM	152.0	 
151.58000000	FB	HADDOCK	KJP981	BONNERS MINNOW FARM	152.0	 
151.71500000	MO	GRAY	KNHN853	DAVIS, JOE E	134.0	 
151.71500000	FB	GRAY	KNHN853	DAVIS, JOE E	134.0	 
151.92500000	MO	GRAY	KNAT389	GREENES WATER WELLS INC	145.0	 
151.92500000	FB	GRAY	KNAT389	GREENES WATER WELLS INC	145.0	 
152.92250000	FB2	GRAY	WQJH442	WIGGINS JR, FREDERIC C	168.2	 
152.92250000	MO	GRAY	WQJH442	WIGGINS JR, FREDERIC C	168.2	 
152.96000000	MO	MACON	WPAG378	REEVES CONSTRUCTION CO INC (DEAN HAYMAN)	148.0	 
152.96000000	FB	MACON	WPAG378	REEVES CONSTRUCTION CO INC (DEAN HAYMAN)	148.0	 
153.02000000	MO	 	KO8294	Martin Marietta Materials (Lynn Mixon)	 	 
153.12500000	MO	 	KO8294	Martin Marietta Materials (Lynn Mixon)	 	 
153.27500000	MO	 	KO8294	Martin Marietta Materials (Lynn Mixon)	 	 
153.69500000	FXO	GORDON	WQIM884	GORDON, CITY OF (PUBLIC WORKS)	115.0	 
153.69500000	FXO	GORDON	WQIM884	GORDON, CITY OF (PUBLIC WORKS)	103.0	 
153.69500000	FXO	GORDON	WQIM884	GORDON, CITY OF (PUBLIC WORKS)	127.0	 
153.69500000	FB	GORDON	WQIM884	GORDON, CITY OF (PUBLIC WORKS)	115.0	 
153.69500000	FB	GORDON	WQIM884	GORDON, CITY OF (PUBLIC WORKS)	103.0	 
153.69500000	FB	GORDON	WQIM884	GORDON, CITY OF (PUBLIC WORKS)	127.0	 
153.69500000	MO	GORDON	WQIM884	GORDON, CITY OF (PUBLIC WORKS)	115.0	 
153.69500000	MO	GORDON	WQIM884	GORDON, CITY OF (PUBLIC WORKS)	103.0	 
153.69500000	MO	GORDON	WQIM884	GORDON, CITY OF (PUBLIC WORKS)	127.0	 
153.84500000	MO	GRAY	WXP493	JONES, COUNTY OF (EMERGENCY MGMT AGENCY ALLEN GREENE)	186.0	 
153.84500000	MO	GRAY	WQEL267	JONES, COUNTY OF (EMERGENCY MANAGEMENT AGENCY)	168.2	 
153.96500000	MO	GRAY	WPNT811	GRAY, CITY OF (RADIO MANAGER)	177.0	 
154.03250000	MO	 	WPUK849	JONES, COUNTY OF (TOM PAHULA)	 	 
154.03250000	MO	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	198.0	WATER TANK
154.03250000	MO	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	182.8	 
154.03250000	MO	MACON	WPUK849	JONES, COUNTY OF (TOM PAHULA)	167.6	 
154.28000000	FB	ROUND OAK	KIL699	GEORGIA, STATE OF (GTA GFC JONES UNIT)	190.0	 
154.30250000	FB2	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	182.8	 
154.30250000	FB2	MACON	WPUK849	JONES, COUNTY OF (TOM PAHULA)	167.6	 
154.30250000	FB2	 	WPUK849	JONES, COUNTY OF (TOM PAHULA)	 	 
154.30250000	FB2	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	198.0	WATER TANK
154.46375000	FXO	GRAY	KNFA702	OGLETHORPE POWER CORP	174.0	 
154.46375000	FXO	Gray	WQAS955	Oglethorpe Power Corp (Telecom Manager)	174.0	 
154.51500000	MO	HADDOCK	KNCC401	JONES COUNTY BANK	152.0	 
154.51500000	FB	HADDOCK	KNCC401	JONES COUNTY BANK	152.0	 
154.54000000	MO	 	KNCG944	ALEWINE, DONALD A (DONALD A ALEWINE)	 	 
154.54000000	FB	GRAY	KNCG944	ALEWINE, DONALD A (DONALD A ALEWINE)	186.0	 
154.54000000	FB	 	KNCG944	ALEWINE, DONALD A (DONALD A ALEWINE)	 	 
154.54000000	FB	HADDOCK	KNAG687	MARLOW, O L	 	 
154.54000000	MO	GRAY	KNCG944	ALEWINE, DONALD A (DONALD A ALEWINE)	186.0	 
154.54000000	MO	HADDOCK	KNAG687	MARLOW, O L	 	 
154.71000000	MO	 	WPUK849	JONES, COUNTY OF (TOM PAHULA)	 	 
154.71000000	MO	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	198.0	WATER TANK
154.71000000	MO	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	182.8	 
154.71000000	MO	MACON	WPUK849	JONES, COUNTY OF (TOM PAHULA)	167.6	 
154.78500000	FB2	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	198.0	WATER TANK
154.78500000	FB2	 	WQLU734	Jones, County Of (Barbara Burnette)	 	 
154.78500000	MO	MACON	WQLU734	Jones, County Of (Barbara Burnette)	167.6	 
154.78500000	MO	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	198.0	WATER TANK
154.78500000	MO	GRAY	WQLU734	Jones, County Of (Barbara Burnette)	182.8	 
154.78500000	MO	 	WQLU734	Jones, County Of (Barbara Burnette)	 	 
154.78500000	FB2	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	182.8	 
154.78500000	MO	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	182.8	 
154.78500000	FB2	MACON	WPUK849	JONES, COUNTY OF (TOM PAHULA)	167.6	 
154.78500000	MO	MACON	WPUK849	JONES, COUNTY OF (TOM PAHULA)	167.6	 
154.78500000	FB2	MACON	WQLU734	Jones, County Of (Barbara Burnette)	167.6	 
154.78500000	FB2	 	WPUK849	JONES, COUNTY OF (TOM PAHULA)	 	 
154.78500000	FB2	GRAY	WQLU734	Jones, County Of (Barbara Burnette)	182.8	 
154.78500000	MO	 	WPUK849	JONES, COUNTY OF (TOM PAHULA)	 	 
154.90500000	MO	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	198.0	WATER TANK
154.90500000	FB	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	198.0	WATER TANK
154.90500000	MO	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	182.8	 
154.90500000	FB	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	182.8	 
154.90500000	FB	GRAY	KNGC521	GRAY, CITY OF (Adam Lowe, Chief)	183.0	 
154.90500000	MO	GRAY	KNGC521	GRAY, CITY OF (Adam Lowe, Chief)	183.0	 
154.90500000	MO	MACON	WPUK849	JONES, COUNTY OF (TOM PAHULA)	167.6	 
154.90500000	FB	MACON	WPUK849	JONES, COUNTY OF (TOM PAHULA)	167.6	 
154.90500000	MO	 	WPUK849	JONES, COUNTY OF (TOM PAHULA)	 	 
154.90500000	FB	 	WPUK849	JONES, COUNTY OF (TOM PAHULA)	 	 
154.93500000	MO	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	182.8	 
154.93500000	FB	GRAY	KNGC521	GRAY, CITY OF (Adam Lowe, Chief)	183.0	 
154.93500000	MO	GRAY	KNGC521	GRAY, CITY OF (Adam Lowe, Chief)	183.0	 
154.93500000	MO	MACON	WPUK849	JONES, COUNTY OF (TOM PAHULA)	167.6	 
154.93500000	MO	 	WPUK849	JONES, COUNTY OF (TOM PAHULA)	 	 
154.93500000	MO	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	198.0	WATER TANK
155.14500000	FB2	GRAY	WPNT811	GRAY, CITY OF (RADIO MANAGER)	177.0	 
155.37000000	FB	GRAY	KNGC521	GRAY, CITY OF (Adam Lowe, Chief)	183.0	 
155.43750000	FB2	 	WQLU734	Jones, County Of (Barbara Burnette)	 	 
155.43750000	FB2	MACON	WPUK849	JONES, COUNTY OF (TOM PAHULA)	167.6	 
155.43750000	MO	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	182.8	 
155.43750000	FB2	 	WPUK849	JONES, COUNTY OF (TOM PAHULA)	 	 
155.43750000	MO	MACON	WPUK849	JONES, COUNTY OF (TOM PAHULA)	167.6	 
155.43750000	MO	MACON	WQLU734	Jones, County Of (Barbara Burnette)	167.6	 
155.43750000	FB2	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	198.0	WATER TANK
155.43750000	MO	GRAY	WQLU734	Jones, County Of (Barbara Burnette)	182.8	 
155.43750000	MO	 	WPUK849	JONES, COUNTY OF (TOM PAHULA)	 	 
155.43750000	MO	 	WQLU734	Jones, County Of (Barbara Burnette)	 	 
155.43750000	FB2	MACON	WQLU734	Jones, County Of (Barbara Burnette)	167.6	 
155.43750000	MO	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	198.0	WATER TANK
155.43750000	FB2	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	182.8	 
155.43750000	FB2	GRAY	WQLU734	Jones, County Of (Barbara Burnette)	182.8	 
155.52000000	FB2	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	182.8	 
155.52000000	MO	 	WPUK849	JONES, COUNTY OF (TOM PAHULA)	 	 
155.52000000	FB2	MACON	WPUK849	JONES, COUNTY OF (TOM PAHULA)	167.6	 
155.52000000	MO	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	198.0	WATER TANK
155.52000000	FB2	 	WPUK849	JONES, COUNTY OF (TOM PAHULA)	 	 
155.52000000	MO	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	182.8	 
155.52000000	FB2	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	198.0	WATER TANK
155.52000000	MO	MACON	WPUK849	JONES, COUNTY OF (TOM PAHULA)	167.6	 
155.54250000	MO	MACON	WPUK849	JONES, COUNTY OF (TOM PAHULA)	167.6	 
155.54250000	MO	MACON	WQLU734	Jones, County Of (Barbara Burnette)	167.6	 
155.54250000	FX1	MACON	WQLU734	Jones, County Of (Barbara Burnette)	167.6	 
155.54250000	MO	GRAY	WQLU734	Jones, County Of (Barbara Burnette)	182.8	 
155.54250000	MO	 	WPUK849	JONES, COUNTY OF (TOM PAHULA)	 	 
155.54250000	FX1	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	182.8	 
155.54250000	FX1	GRAY	WQLU734	Jones, County Of (Barbara Burnette)	182.8	 
155.54250000	MO	 	WQLU734	Jones, County Of (Barbara Burnette)	 	 
155.54250000	MO	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	198.0	WATER TANK
155.54250000	FX1	 	WQLU734	Jones, County Of (Barbara Burnette)	 	 
155.54250000	FX1	MACON	WPUK849	JONES, COUNTY OF (TOM PAHULA)	167.6	 
155.54250000	FX1	 	WPUK849	JONES, COUNTY OF (TOM PAHULA)	 	 
155.54250000	MO	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	182.8	 
155.54250000	FX1	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	198.0	WATER TANK
155.67000000	FB	GRAY	KNGC521	GRAY, CITY OF (Adam Lowe, Chief)	183.0	 
155.67000000	MO	GRAY	KNGC521	GRAY, CITY OF (Adam Lowe, Chief)	183.0	 
155.70000000	MO	 	WNNZ629	GEORGIA, STATE OF (GTA / GFC OCONEE WEST RPTRS)	 	 
155.70000000	FX1	HILLSBORO	WNNZ629	GEORGIA, STATE OF (GTA / GFC OCONEE WEST RPTRS)	181.0	 
155.70000000	MO	HILLSBORO	WNNZ629	GEORGIA, STATE OF (GTA / GFC OCONEE WEST RPTRS)	181.0	 
155.70000000	FX1	 	WNNZ629	GEORGIA, STATE OF (GTA / GFC OCONEE WEST RPTRS)	 	 
155.98500000	MO	MACON	WPUK849	JONES, COUNTY OF (TOM PAHULA)	167.6	 
155.98500000	MO	MACON	WQLU734	Jones, County Of (Barbara Burnette)	167.6	 
155.98500000	FX1	 	WPUK849	JONES, COUNTY OF (TOM PAHULA)	 	 
155.98500000	FX1	MACON	WQLU734	Jones, County Of (Barbara Burnette)	167.6	 
155.98500000	MO	GRAY	WQLU734	Jones, County Of (Barbara Burnette)	182.8	 
155.98500000	MO	 	WPUK849	JONES, COUNTY OF (TOM PAHULA)	 	 
155.98500000	FX1	GRAY	WQLU734	Jones, County Of (Barbara Burnette)	182.8	 
155.98500000	FX1	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	198.0	WATER TANK
155.98500000	MO	 	WQLU734	Jones, County Of (Barbara Burnette)	 	 
155.98500000	FX1	 	WQLU734	Jones, County Of (Barbara Burnette)	 	 
155.98500000	MO	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	198.0	WATER TANK
155.98500000	FX1	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	182.8	 
155.98500000	MO	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	182.8	 
155.98500000	FX1	MACON	WPUK849	JONES, COUNTY OF (TOM PAHULA)	167.6	 
156.07500000	MO	MACON	KNHB596	JONES, COUNTY OF (WATER DEPT)	201.0	 
156.07500000	MO	MACON	WQEI871	JONES, COUNTY OF (WATER DEPARTMENT)	201.0	 
156.07500000	FX1	MACON	WQEI871	JONES, COUNTY OF (WATER DEPARTMENT)	201.0	 
156.18000000	MO	GRAY	WQKU236	GRAY, CITY OF (POLICE DEPARTMENT)	170.7	 
156.18000000	FX1	GRAY	WQKU236	GRAY, CITY OF (POLICE DEPARTMENT)	170.7	 
156.18000000	MO	 	WQKU236	GRAY, CITY OF (POLICE DEPARTMENT)	 	 
156.18000000	FX1	 	WQKU236	GRAY, CITY OF (POLICE DEPARTMENT)	 	 
156.22500000	MO	GRAY	WNMF687	JONES, COUNTY OF (BOARD OF EDUCATION)	168.2	 
156.22500000	FB2	GRAY	WNMF687	JONES, COUNTY OF (BOARD OF EDUCATION)	168.2	 
158.89500000	MO	GRAY	WPKL234	JONES, COUNTY OF (G B BUTCH MOORE III)	180.0	 
158.89500000	MO	MACON	WNPU984	JONES, COUNTY OF	149.0	 
158.89500000	FB	MACON	WNPU984	JONES, COUNTY OF	149.0	 
158.89500000	FB2	GRAY	WPKL234	JONES, COUNTY OF (G B BUTCH MOORE III)	180.0	 
158.92500000	FB	ROUND OAK	KIL699	GEORGIA, STATE OF (GTA GFC JONES UNIT)	190.0	 
159.04500000	MO	GRAY	WNMF687	JONES, COUNTY OF (BOARD OF EDUCATION)	168.2	 
159.10500000	MO	MACON	WQEI871	JONES, COUNTY OF (WATER DEPARTMENT)	201.0	 
159.10500000	FB2	MACON	KNHB596	JONES, COUNTY OF (WATER DEPT)	201.0	 
159.10500000	FB2	MACON	WQEI871	JONES, COUNTY OF (WATER DEPARTMENT)	201.0	 
159.14250000	MO	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	182.8	 
159.14250000	FX1	MACON	WQLU734	Jones, County Of (Barbara Burnette)	167.6	 
159.14250000	FX1	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	182.8	 
159.14250000	FX1	GRAY	WQLU734	Jones, County Of (Barbara Burnette)	182.8	 
159.14250000	MO	MACON	WPUK849	JONES, COUNTY OF (TOM PAHULA)	167.6	 
159.14250000	MO	MACON	WQLU734	Jones, County Of (Barbara Burnette)	167.6	 
159.14250000	FX1	 	WQLU734	Jones, County Of (Barbara Burnette)	 	 
159.14250000	FX1	MACON	WPUK849	JONES, COUNTY OF (TOM PAHULA)	167.6	 
159.14250000	MO	GRAY	WQLU734	Jones, County Of (Barbara Burnette)	182.8	 
159.14250000	MO	 	WPUK849	JONES, COUNTY OF (TOM PAHULA)	 	 
159.14250000	FX1	 	WPUK849	JONES, COUNTY OF (TOM PAHULA)	 	 
159.14250000	MO	 	WQLU734	Jones, County Of (Barbara Burnette)	 	 
159.14250000	MO	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	198.0	WATER TANK
159.14250000	FX1	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	198.0	WATER TANK
159.18000000	MO	 	WQLU734	Jones, County Of (Barbara Burnette)	 	 
159.18000000	MO	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	198.0	WATER TANK
159.18000000	FX1	MACON	WQLU734	Jones, County Of (Barbara Burnette)	167.6	 
159.18000000	FX1	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	182.8	 
159.18000000	FX1	GRAY	WQLU734	Jones, County Of (Barbara Burnette)	182.8	 
159.18000000	FX1	 	WQLU734	Jones, County Of (Barbara Burnette)	 	 
159.18000000	MO	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	182.8	 
159.18000000	FX1	MACON	WPUK849	JONES, COUNTY OF (TOM PAHULA)	167.6	 
159.18000000	MO	MACON	WPUK849	JONES, COUNTY OF (TOM PAHULA)	167.6	 
159.18000000	FX1	 	WPUK849	JONES, COUNTY OF (TOM PAHULA)	 	 
159.18000000	MO	MACON	WQLU734	Jones, County Of (Barbara Burnette)	167.6	 
159.18000000	MO	GRAY	WQLU734	Jones, County Of (Barbara Burnette)	182.8	 
159.18000000	MO	 	WPUK849	JONES, COUNTY OF (TOM PAHULA)	 	 
159.18000000	FX1	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	198.0	WATER TANK
159.22500000	FB2	 	WNNZ629	GEORGIA, STATE OF (GTA / GFC OCONEE WEST RPTRS)	 	 
159.22500000	MO	 	WNNZ629	GEORGIA, STATE OF (GTA / GFC OCONEE WEST RPTRS)	 	 
159.22500000	FB2	HILLSBORO	WNNZ629	GEORGIA, STATE OF (GTA / GFC OCONEE WEST RPTRS)	181.0	 
159.22500000	MO	HILLSBORO	WNNZ629	GEORGIA, STATE OF (GTA / GFC OCONEE WEST RPTRS)	181.0	 
159.25500000	FB	ROUND OAK	KIL699	GEORGIA, STATE OF (GTA GFC JONES UNIT)	190.0	 
159.27000000	FB	ROUND OAK	KIL699	GEORGIA, STATE OF (GTA GFC JONES UNIT)	190.0	 
159.27750000	FB	ROUND OAK	KIL699	GEORGIA, STATE OF (GTA GFC JONES UNIT)	190.0	 
159.28500000	FB	ROUND OAK	KIL699	GEORGIA, STATE OF (GTA GFC JONES UNIT)	190.0	 
159.33000000	MO	HILLSBORO	WNNZ629	GEORGIA, STATE OF (GTA / GFC OCONEE WEST RPTRS)	181.0	 
159.33000000	FB2	HILLSBORO	WNNZ629	GEORGIA, STATE OF (GTA / GFC OCONEE WEST RPTRS)	181.0	 
159.33000000	MO	 	WNNZ629	GEORGIA, STATE OF (GTA / GFC OCONEE WEST RPTRS)	 	 
159.33000000	FB2	 	WNNZ629	GEORGIA, STATE OF (GTA / GFC OCONEE WEST RPTRS)	 	 
159.33750000	FB2	GRAY	WQLU734	Jones, County Of (Barbara Burnette)	182.8	 
159.33750000	FB2	 	WQLU734	Jones, County Of (Barbara Burnette)	 	 
159.33750000	FB2	MACON	WPUK849	JONES, COUNTY OF (TOM PAHULA)	167.6	 
159.33750000	MO	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	198.0	WATER TANK
159.33750000	FB2	 	WPUK849	JONES, COUNTY OF (TOM PAHULA)	 	 
159.33750000	MO	MACON	WQLU734	Jones, County Of (Barbara Burnette)	167.6	 
159.33750000	MO	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	182.8	 
159.33750000	FB2	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	198.0	WATER TANK
159.33750000	MO	GRAY	WQLU734	Jones, County Of (Barbara Burnette)	182.8	 
159.33750000	MO	MACON	WPUK849	JONES, COUNTY OF (TOM PAHULA)	167.6	 
159.33750000	MO	 	WQLU734	Jones, County Of (Barbara Burnette)	 	 
159.33750000	FB2	MACON	WQLU734	Jones, County Of (Barbara Burnette)	167.6	 
159.33750000	FB2	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	182.8	 
159.33750000	MO	 	WPUK849	JONES, COUNTY OF (TOM PAHULA)	 	 
159.36000000	FB	ROUND OAK	KIL699	GEORGIA, STATE OF (GTA GFC JONES UNIT)	190.0	 
159.36000000	FB	MACON	KID485	GEORGIA, STATE OF (GTA GFC JONES UNIT)	152.0	 
159.39000000	FB	ROUND OAK	KIL699	GEORGIA, STATE OF (GTA GFC JONES UNIT)	190.0	 
159.39000000	FB	MACON	KID485	GEORGIA, STATE OF (GTA GFC JONES UNIT)	152.0	 
159.40500000	MO	 	WQLU734	Jones, County Of (Barbara Burnette)	 	 
159.40500000	MO	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	182.8	 
159.40500000	FX1	GRAY	WPUK849	JONES, COUNTY OF (TOM PAHULA)	182.8	 
159.40500000	MO	MACON	WPUK849	JONES, COUNTY OF (TOM PAHULA)	167.6	 
159.40500000	FX1	MACON	WQLU734	Jones, County Of (Barbara Burnette)	167.6	 
159.40500000	FX1	MACON	WPUK849	JONES, COUNTY OF (TOM PAHULA)	167.6	 
159.40500000	FX1	GRAY	WQLU734	Jones, County Of (Barbara Burnette)	182.8	 
